Supplier ID;Product / product type;Description;Supplier;Adress_1;Adress_2;BTW number;Contact Sales;Tel. Sales;E-mail Sales;Contact Engin.;Tel. Engin.;E-mail Engineering;Website;Tel. Info;E-Mail info;Remarks;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_092;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_093;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_094;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_095;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_096;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_097;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_098;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_099;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_100;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_101;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_102;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_103;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_104;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_105;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_106;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_107;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_108;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_109;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_110;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_111;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_112;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_113;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_114;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_115;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_116;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_117;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_118;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_119;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_120;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_121;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_122;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_123;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_124;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_125;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_126;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_127;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_128;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_129;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_130;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_131;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_132;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_133;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_134;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_135;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_136;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_137;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_138;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_139;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_140;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_141;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_142;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_143;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_144;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_145;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_146;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_147;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_148;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_149;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
